run,cold_wall_seconds,warm_wall_seconds,speedup_ratio,cold_output_bytes,warm_output_bytes,output_ratio,cold_files_touched_proxy,warm_files_touched_proxy,cold_exit_code,warm_exit_code,cold_stop,warm_stop,cold_action,warm_action,cold_reason_codes,warm_reason_codes,cache_hit,context_match,decision_semantics_match,action_equivalent
0,0.559936799982097,0.01512120000552386,37.02991824574431,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
1,0.4619724999938626,0.011866399989230558,38.93114174586473,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
2,0.3859507000015583,0.011823400011053309,32.64295377308944,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
3,0.3755922999989707,0.01752019999548793,21.437671949846408,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
4,0.37670790002448484,0.012878800014732406,29.250232909398278,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
5,0.3722489000065252,0.01195660000666976,31.133340564949343,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
6,0.36994679999770597,0.013056999974651262,28.333215954347647,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
7,0.3672034000046551,0.013030000001890585,28.18138142374335,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
8,0.36904690001392737,0.012587100005475804,29.319454032571425,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
9,0.38191110000479966,0.015605000022333115,24.47363662020039,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
10,0.3800204000144731,0.014624000003095716,25.986077676013924,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
11,0.3759890000219457,0.01313290002872236,28.629548629749518,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
12,0.3721547999884933,0.013084600010188296,28.44219920354583,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
13,0.37657719998969696,0.01328990000183694,28.335593190140344,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
14,0.449751699983608,0.012765199993737042,35.23264031932665,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
15,0.37545540000428446,0.0136233999801334,27.559596029757618,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
16,0.3866359000094235,0.014493199996650219,26.677055453508252,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
17,0.4233014000055846,0.013198300002841279,32.07241841104217,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
18,0.3970807000005152,0.01334189999033697,29.761930481273705,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
19,0.39755870000226423,0.013384999998379499,29.701807997788276,3131,990,3.1626262626262625,45,2,1,0,True,True,STOP_BLOCKED,STOP_BLOCKED,"['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']","['BLOCKING_FINDINGS', 'REPORT_NOT_EVALUATED']",True,True,True,True
