boundary_id,record_index,payload_type,termination_reason
compaction-1280,1280,compacted,EXPLICIT_COMPACTION
compaction-1282,1282,context_compacted,EXPLICIT_COMPACTION
compaction-2080,2080,compacted,EXPLICIT_COMPACTION
compaction-2083,2083,context_compacted,EXPLICIT_COMPACTION
compaction-2322,2322,compacted,EXPLICIT_COMPACTION
compaction-2325,2325,context_compacted,EXPLICIT_COMPACTION
compaction-3123,3123,compacted,EXPLICIT_COMPACTION
compaction-3126,3126,context_compacted,EXPLICIT_COMPACTION
compaction-3979,3979,compacted,EXPLICIT_COMPACTION
compaction-3982,3982,context_compacted,EXPLICIT_COMPACTION
compaction-4728,4728,compacted,EXPLICIT_COMPACTION
compaction-4731,4731,context_compacted,EXPLICIT_COMPACTION
compaction-5336,5336,compacted,EXPLICIT_COMPACTION
compaction-5338,5338,context_compacted,EXPLICIT_COMPACTION
compaction-5865,5865,compacted,EXPLICIT_COMPACTION
compaction-5868,5868,context_compacted,EXPLICIT_COMPACTION
compaction-6296,6296,compacted,EXPLICIT_COMPACTION
compaction-6299,6299,context_compacted,EXPLICIT_COMPACTION
compaction-6681,6681,compacted,EXPLICIT_COMPACTION
compaction-6684,6684,context_compacted,EXPLICIT_COMPACTION
compaction-7427,7427,compacted,EXPLICIT_COMPACTION
compaction-7430,7430,context_compacted,EXPLICIT_COMPACTION
compaction-8052,8052,compacted,EXPLICIT_COMPACTION
compaction-8055,8055,context_compacted,EXPLICIT_COMPACTION
compaction-8634,8634,compacted,EXPLICIT_COMPACTION
compaction-8637,8637,context_compacted,EXPLICIT_COMPACTION
compaction-9266,9266,compacted,EXPLICIT_COMPACTION
compaction-9269,9269,context_compacted,EXPLICIT_COMPACTION
compaction-9820,9820,compacted,EXPLICIT_COMPACTION
compaction-9823,9823,context_compacted,EXPLICIT_COMPACTION
compaction-10400,10400,compacted,EXPLICIT_COMPACTION
compaction-10403,10403,context_compacted,EXPLICIT_COMPACTION
compaction-11660,11660,compacted,EXPLICIT_COMPACTION
compaction-11663,11663,context_compacted,EXPLICIT_COMPACTION
compaction-12475,12475,compacted,EXPLICIT_COMPACTION
compaction-12478,12478,context_compacted,EXPLICIT_COMPACTION
compaction-13337,13337,compacted,EXPLICIT_COMPACTION
compaction-13340,13340,context_compacted,EXPLICIT_COMPACTION
compaction-14476,14476,compacted,EXPLICIT_COMPACTION
compaction-14479,14479,context_compacted,EXPLICIT_COMPACTION
compaction-15375,15375,compacted,EXPLICIT_COMPACTION
compaction-15378,15378,context_compacted,EXPLICIT_COMPACTION
compaction-16139,16139,compacted,EXPLICIT_COMPACTION
compaction-16142,16142,context_compacted,EXPLICIT_COMPACTION
compaction-16937,16937,compacted,EXPLICIT_COMPACTION
compaction-16940,16940,context_compacted,EXPLICIT_COMPACTION
compaction-17731,17731,compacted,EXPLICIT_COMPACTION
compaction-17733,17733,context_compacted,EXPLICIT_COMPACTION
compaction-18515,18515,compacted,EXPLICIT_COMPACTION
compaction-18518,18518,context_compacted,EXPLICIT_COMPACTION
compaction-19154,19154,compacted,EXPLICIT_COMPACTION
compaction-19157,19157,context_compacted,EXPLICIT_COMPACTION
compaction-19918,19918,compacted,EXPLICIT_COMPACTION
compaction-19921,19921,context_compacted,EXPLICIT_COMPACTION
compaction-20420,20420,compacted,EXPLICIT_COMPACTION
compaction-20423,20423,context_compacted,EXPLICIT_COMPACTION
compaction-21259,21259,compacted,EXPLICIT_COMPACTION
compaction-21262,21262,context_compacted,EXPLICIT_COMPACTION
compaction-21823,21823,compacted,EXPLICIT_COMPACTION
compaction-21826,21826,context_compacted,EXPLICIT_COMPACTION
compaction-22748,22748,compacted,EXPLICIT_COMPACTION
compaction-22751,22751,context_compacted,EXPLICIT_COMPACTION
compaction-23532,23532,compacted,EXPLICIT_COMPACTION
compaction-23535,23535,context_compacted,EXPLICIT_COMPACTION
compaction-23991,23991,compacted,EXPLICIT_COMPACTION
compaction-23994,23994,context_compacted,EXPLICIT_COMPACTION
compaction-24601,24601,compacted,EXPLICIT_COMPACTION
compaction-24604,24604,context_compacted,EXPLICIT_COMPACTION
compaction-25737,25737,compacted,EXPLICIT_COMPACTION
compaction-25740,25740,context_compacted,EXPLICIT_COMPACTION
compaction-26603,26603,compacted,EXPLICIT_COMPACTION
compaction-26605,26605,context_compacted,EXPLICIT_COMPACTION
compaction-26757,26757,compacted,EXPLICIT_COMPACTION
compaction-26760,26760,context_compacted,EXPLICIT_COMPACTION
compaction-26935,26935,compacted,EXPLICIT_COMPACTION
compaction-26938,26938,context_compacted,EXPLICIT_COMPACTION
compaction-27191,27191,compacted,EXPLICIT_COMPACTION
compaction-27193,27193,context_compacted,EXPLICIT_COMPACTION
compaction-27469,27469,compacted,EXPLICIT_COMPACTION
compaction-27472,27472,context_compacted,EXPLICIT_COMPACTION
compaction-27669,27669,compacted,EXPLICIT_COMPACTION
compaction-27672,27672,context_compacted,EXPLICIT_COMPACTION
compaction-27929,27929,compacted,EXPLICIT_COMPACTION
compaction-27932,27932,context_compacted,EXPLICIT_COMPACTION
compaction-28141,28141,compacted,EXPLICIT_COMPACTION
compaction-28144,28144,context_compacted,EXPLICIT_COMPACTION
compaction-28378,28378,compacted,EXPLICIT_COMPACTION
compaction-28381,28381,context_compacted,EXPLICIT_COMPACTION
compaction-28580,28580,compacted,EXPLICIT_COMPACTION
compaction-28583,28583,context_compacted,EXPLICIT_COMPACTION
compaction-28836,28836,compacted,EXPLICIT_COMPACTION
compaction-28839,28839,context_compacted,EXPLICIT_COMPACTION
compaction-29174,29174,compacted,EXPLICIT_COMPACTION
compaction-29177,29177,context_compacted,EXPLICIT_COMPACTION
compaction-29443,29443,compacted,EXPLICIT_COMPACTION
compaction-29446,29446,context_compacted,EXPLICIT_COMPACTION
compaction-29874,29874,compacted,EXPLICIT_COMPACTION
compaction-29877,29877,context_compacted,EXPLICIT_COMPACTION
compaction-30289,30289,compacted,EXPLICIT_COMPACTION
compaction-30292,30292,context_compacted,EXPLICIT_COMPACTION
compaction-30521,30521,compacted,EXPLICIT_COMPACTION
compaction-30524,30524,context_compacted,EXPLICIT_COMPACTION
compaction-30857,30857,compacted,EXPLICIT_COMPACTION
compaction-30860,30860,context_compacted,EXPLICIT_COMPACTION
compaction-31243,31243,compacted,EXPLICIT_COMPACTION
compaction-31246,31246,context_compacted,EXPLICIT_COMPACTION
compaction-31631,31631,compacted,EXPLICIT_COMPACTION
compaction-31634,31634,context_compacted,EXPLICIT_COMPACTION
compaction-32137,32137,compacted,EXPLICIT_COMPACTION
compaction-32140,32140,context_compacted,EXPLICIT_COMPACTION
compaction-32778,32778,compacted,EXPLICIT_COMPACTION
compaction-32781,32781,context_compacted,EXPLICIT_COMPACTION
compaction-33596,33596,compacted,EXPLICIT_COMPACTION
compaction-33599,33599,context_compacted,EXPLICIT_COMPACTION
compaction-34476,34476,compacted,EXPLICIT_COMPACTION
compaction-34479,34479,context_compacted,EXPLICIT_COMPACTION
compaction-35203,35203,compacted,EXPLICIT_COMPACTION
compaction-35206,35206,context_compacted,EXPLICIT_COMPACTION
compaction-35817,35817,compacted,EXPLICIT_COMPACTION
compaction-35820,35820,context_compacted,EXPLICIT_COMPACTION
compaction-36546,36546,compacted,EXPLICIT_COMPACTION
compaction-36549,36549,context_compacted,EXPLICIT_COMPACTION
compaction-37103,37103,compacted,EXPLICIT_COMPACTION
compaction-37106,37106,context_compacted,EXPLICIT_COMPACTION
compaction-37228,37228,compacted,EXPLICIT_COMPACTION
compaction-37231,37231,context_compacted,EXPLICIT_COMPACTION
compaction-37375,37375,compacted,EXPLICIT_COMPACTION
compaction-37378,37378,context_compacted,EXPLICIT_COMPACTION
compaction-37573,37573,compacted,EXPLICIT_COMPACTION
compaction-37576,37576,context_compacted,EXPLICIT_COMPACTION
compaction-37774,37774,compacted,EXPLICIT_COMPACTION
compaction-37777,37777,context_compacted,EXPLICIT_COMPACTION
compaction-37965,37965,compacted,EXPLICIT_COMPACTION
compaction-37968,37968,context_compacted,EXPLICIT_COMPACTION
compaction-38191,38191,compacted,EXPLICIT_COMPACTION
compaction-38194,38194,context_compacted,EXPLICIT_COMPACTION
compaction-38353,38353,compacted,EXPLICIT_COMPACTION
compaction-38356,38356,context_compacted,EXPLICIT_COMPACTION
compaction-38467,38467,compacted,EXPLICIT_COMPACTION
compaction-38470,38470,context_compacted,EXPLICIT_COMPACTION
compaction-38795,38795,compacted,EXPLICIT_COMPACTION
compaction-38798,38798,context_compacted,EXPLICIT_COMPACTION
compaction-39056,39056,compacted,EXPLICIT_COMPACTION
compaction-39058,39058,context_compacted,EXPLICIT_COMPACTION
compaction-39335,39335,compacted,EXPLICIT_COMPACTION
compaction-39338,39338,context_compacted,EXPLICIT_COMPACTION
compaction-39647,39647,compacted,EXPLICIT_COMPACTION
compaction-39650,39650,context_compacted,EXPLICIT_COMPACTION
compaction-39859,39859,compacted,EXPLICIT_COMPACTION
compaction-39862,39862,context_compacted,EXPLICIT_COMPACTION
compaction-40119,40119,compacted,EXPLICIT_COMPACTION
compaction-40122,40122,context_compacted,EXPLICIT_COMPACTION
compaction-40387,40387,compacted,EXPLICIT_COMPACTION
compaction-40390,40390,context_compacted,EXPLICIT_COMPACTION
compaction-40630,40630,compacted,EXPLICIT_COMPACTION
compaction-40633,40633,context_compacted,EXPLICIT_COMPACTION
compaction-40814,40814,compacted,EXPLICIT_COMPACTION
compaction-40817,40817,context_compacted,EXPLICIT_COMPACTION
compaction-41024,41024,compacted,EXPLICIT_COMPACTION
compaction-41027,41027,context_compacted,EXPLICIT_COMPACTION
compaction-41415,41415,compacted,EXPLICIT_COMPACTION
compaction-41418,41418,context_compacted,EXPLICIT_COMPACTION
compaction-41672,41672,compacted,EXPLICIT_COMPACTION
compaction-41675,41675,context_compacted,EXPLICIT_COMPACTION
compaction-41959,41959,compacted,EXPLICIT_COMPACTION
compaction-41962,41962,context_compacted,EXPLICIT_COMPACTION
compaction-42177,42177,compacted,EXPLICIT_COMPACTION
compaction-42180,42180,context_compacted,EXPLICIT_COMPACTION
compaction-42474,42474,compacted,EXPLICIT_COMPACTION
compaction-42477,42477,context_compacted,EXPLICIT_COMPACTION
compaction-42651,42651,compacted,EXPLICIT_COMPACTION
compaction-42654,42654,context_compacted,EXPLICIT_COMPACTION
compaction-42773,42773,compacted,EXPLICIT_COMPACTION
compaction-42776,42776,context_compacted,EXPLICIT_COMPACTION
compaction-43013,43013,compacted,EXPLICIT_COMPACTION
compaction-43016,43016,context_compacted,EXPLICIT_COMPACTION
compaction-43243,43243,compacted,EXPLICIT_COMPACTION
compaction-43246,43246,context_compacted,EXPLICIT_COMPACTION
compaction-43532,43532,compacted,EXPLICIT_COMPACTION
compaction-43535,43535,context_compacted,EXPLICIT_COMPACTION
compaction-43698,43698,compacted,EXPLICIT_COMPACTION
compaction-43701,43701,context_compacted,EXPLICIT_COMPACTION
compaction-43896,43896,compacted,EXPLICIT_COMPACTION
compaction-43899,43899,context_compacted,EXPLICIT_COMPACTION
compaction-44237,44237,compacted,EXPLICIT_COMPACTION
compaction-44240,44240,context_compacted,EXPLICIT_COMPACTION
