event_id,record_index,raw_output_bytes,compact_output_bytes,compact_to_raw_byte_ratio,raw_output_allocated_fresh_tokens,compact_output_estimated_tokens,immediate_fresh_saving_tokens,reuse_count,propagated_cached_prefix_saving_tokens,state_reconstruction_status,state_reconstruction_basis,replacement_status,sufficiency_status,query_type,query_fingerprint,workspace_fingerprint,raw_output_sha256,compact_output_sha256,line_count,nonempty_line_count,truncated_visible_output_detected,included_in_lower,included_in_realistic,not_counted_reason
program_completion_stable_codex-event-13,13,627,1223,1.950558,138.2,269.567145,-131.367145,174,-22857.883254,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,TOP_LEVEL_ENTRIES,aab0a4610058f33db72c052a1f6734a50767b9e7ed16b5fb946acbfe44d05b92,recorded-output:6c27be3cbb37a9ac,6c27be3cbb37a9ac5a4758c5547a8afb54d50e254f14da43488969cdccdc694b,7aa44c595cd415368572a83b782dde629b3e73f69a7bd20478c7531da4b73126,14,8,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-24,24,627,1223,1.950558,1239.953,2418.600509,-1178.647509,173,-203906.019018,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,TOP_LEVEL_ENTRIES,b6cb4d0c84f93d51f573061643f878208450d2ae647c92b4e813772e81ca314f,recorded-output:13debf02030507a0,13debf02030507a03e4727fbb72c6364d6dee1b0f23402adf0d022471eafe3d8,95924aa9f13de9b98cdc2b52f57e647b5c1bed3d4a48a13584a43f1347790581,14,8,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-26,26,44,895,20.340909,87.014,1769.943864,-1682.929864,173,-291146.866409,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,PATH_EXISTS,0a1cb3c7aceb867675843724c31f17eb825e9a2232625f871a9da76eb5543eb4,recorded-output:1740cc09ed02f255,1740cc09ed02f255a34f993fefc7e30c52e3fbe8247446980e0e20d88a8b5db7,d53b9c6f3af900a5d314ffd926567ebec4c514834269d87eccfa631d50ff87c6,3,3,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-27,27,44,895,20.340909,87.014,1769.943864,-1682.929864,173,-291146.866409,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,PATH_EXISTS,7c0091d36f3d74f843745438ee61468614b0c8b8bc3555d60e3a77e31aba64b2,recorded-output:1740cc09ed02f255,1740cc09ed02f255a34f993fefc7e30c52e3fbe8247446980e0e20d88a8b5db7,d53b9c6f3af900a5d314ffd926567ebec4c514834269d87eccfa631d50ff87c6,3,3,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-48,48,411,1051,2.557178,254.315,650.328625,-396.013625,170,-67322.316302,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,TOP_LEVEL_ENTRIES,845075c265bbdd9762302146418c3b474a8d2c4523f50a4ec81dedbfb3a1a683,recorded-output:afd78d2fbb912c9c,afd78d2fbb912c9c0dbb64b510e15da8b36ff2ffb6d3e03033c0ff74f1dba4fd,6294efa652433ea7638ecbc117ec95c695765ee50253fbd120a5a498c61f539a,9,6,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-50,50,44,895,20.340909,27.226,553.801591,-526.575591,170,-89517.850455,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,PATH_EXISTS,9c5c4591a8dd9a52cc97a70f887ddb0aec3de855393a65dcbe3cdaf65bf39e39,recorded-output:1c84d2636a20cfae,1c84d2636a20cfae930bdd1cd299795de0a8bb19f608117913954edb0745ec7d,3a250c27c69ba346dfb485edbcc9fd3aab47814d3b9372b41995c009d38c75a4,3,3,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-109,109,305,1159,3.8,74.46,282.948,-208.488,162,-33775.056,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,TOP_LEVEL_ENTRIES,ab98a87b096915715b7cff6934e8d330e279eeb0447cf302cbc7151474ecd9d7,recorded-output:8ff7c0b7c20bcb4c,8ff7c0b7c20bcb4c4ade6ec0d07606fbc678c0c1cc9d57b72e6192ebf499d346,fe4d3e48702bbe18e3a00a6d63735183aa2848c188dcb878a8d261475195d003,9,6,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-123,123,335,1183,3.531343,108.133,381.854743,-273.721743,160,-43795.478925,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,TOP_LEVEL_ENTRIES,ad6efca37ecc12a9cc86f6f5815cdb447970c556932ab964494e55558630b0e2,recorded-output:852ea485bfdc7717,852ea485bfdc7717d92a165424042afe29e9e178d7f77de91c617a16cd2a1936,5f6f0030530dcf32c26f3434eadb7614971db1cb180805323905ce3019cc5953,9,6,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-125,125,44,895,20.340909,14.203,288.901932,-274.698932,160,-43951.829091,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,PATH_EXISTS,f6f588945e44f37e3e43b457283d335da6da52820233a3294676c3d1fef85e82,recorded-output:1740cc09ed02f255,1740cc09ed02f255a34f993fefc7e30c52e3fbe8247446980e0e20d88a8b5db7,d53b9c6f3af900a5d314ffd926567ebec4c514834269d87eccfa631d50ff87c6,3,3,False,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-141,141,371,1209,3.25876,210.159,684.857765,-474.698765,158,-75002.404949,EXACT,RECORDED_MODEL_VISIBLE_OUTPUT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,TOP_LEVEL_ENTRIES,c7deb779cc7ab4807ed06ccd29a724608fefb5e4e5bcd9882abcfb98eba745d3,recorded-output:5a04fe66be8aec9b,5a04fe66be8aec9b06b45a304abb0c619ad5d06a99c0a7cb8ebb2f9ae8cd3ed0,1c401cf8c5ed522f63b887808bce3222e75f3177b75e51c4864f9a0675e02acc,9,6,False,False,False,compact answer is not smaller than raw output
